Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price,Coe_left_days,Coe_left_months,Brand_name
Mercedes-Benz A-Class A180 Style,Hatchback,2016-06-17,5yrs 10days COE left),12750,45000,740,38459,47300,1595,1395,2015,Auto,23253,19555,90,1,73888,1835,60.333333333333336,Mercedes-Benz
Nissan Pulsar 1.2A DIG-T Premium,Hatchback,2017-05-18,5yrs 11mths 11days COE left),9250,38000,508,36047,51106,1197,1265,2017,Auto,17532,7532,85,1,58800,2166,71.36666666666666,Nissan
Hyundai Elantra 1.6A GLS,Mid-Sized Sedan,2016-09-30,5yrs 3mths 23days COE left),9020,35200,738,35349,50000,1591,1345,2016,Auto,11680,11680,93,1,53800,1938,63.766666666666666,Hyundai
Mazda CX-3 2.0A Standard,SUV,2019-05-28,7yrs 11mths 21days COE left),9290,31000,1210,51345,48010,1998,1290,2018,Auto,17389,17389,115,1,82800,2906,95.7,Mazda
Mercedes-Benz C-Class C63 AMG,Sports Car,2012-10-22,1yr 4mths 15days COE left),51050,71000,7404,64453,80001,6208,1730,2012,Auto,97182,97182,336,4,118800,500,16.5,Mercedes-Benz
Toyota Camry 2.0A,Luxury Sedan,2012-07-31,1yr 1mth 24days COE left),15470,127000,1210,22435,85889,1998,1445,2012,Auto,23475,23475,109,2,29500,419,13.8,Toyota
BMW 3 Series 320i,Luxury Sedan,2012-07-31,1yr 1mth 24days COE left),19140,138000,1210,28726,86999,1997,1420,2012,Auto,35065,35065,135,1,39500,419,13.8,BMW
Toyota Raize 1.0A X,SUV,2020-09-29,9yrs 3mths 22days COE left),8510,13000,392,45613,38504,996,970,2020,Auto,22129,12981,72,1,85800,3397,111.73333333333333,Toyota
Kia Cerato 1.6A EX,Mid-Sized Sedan,2018-11-13,7yrs 5mths 6days COE left),8710,34805,738,31283,28000,1591,1287,2018,Auto,13931,13931,93,1,71800,2711,89.2,Kia
Mitsubishi Outlander 2.4A Sunroof,SUV,2016-08-15,5yrs 2mths 8days COE left),11090,108388,1636,47384,56000,2360,1530,2016,Auto,23152,24413,123,1,69800,1893,62.266666666666666,Mitsubishi
Volkswagen Jetta GP 1.4A TSI Highline,Mid-Sized Sedan,2016-04-12,4yrs 10mths 5days COE left),9430,47088,620,37597,45504,1390,1417,2015,Auto,21562,22187,90,2,56800,1765,58.166666666666664,Volkswagen
Hyundai Avante 1.6A GLS Elite,Mid-Sized Sedan,2020-08-24,9yrs 2mths 17days COE left),8620,15000,738,46854,35710,1591,1345,2019,Auto,18576,18576,93,1,88800,3362,110.56666666666666,Hyundai
Mercedes-Benz E-Class E200 Avantgarde,Luxury Sedan,2018-04-19,6yrs 10mths 12days COE left),18320,57000,1202,79698,37605,1991,1605,2018,Auto,55451,71812,135,1,161800,2502,82.4,Mercedes-Benz
Mazda CX-3 2.0A Deluxe,SUV,2019-12-27,8yrs 6mths 20days COE left),9900,34000,1210,45278,37989,1998,1290,2018,Auto,21515,22121,115,1,95800,3120,102.66666666666667,Mazda
